#    data from: http://www.heweather.com/documents/cn-city-list
#
#        #!/usr/bin/env python
#        # -*- coding: utf-8 -*-
#
#        import itertools
#        import pypinyin
#        from pypinyin import pinyin
#
#
#        with open('city.data') as f:
#            for line in f:
#                line = line.strip().decode('utf-8')
#                (_id, county, ccounty, city, province) = line.split(' ')
#                k = pinyin(ccounty, style=pypinyin.NORMAL, heteronym=True)
#                abbr = None
#                for t in itertools.product(*k):
#                    py = "".join(t)
#                    if py == county:
#                        abbr = "".join([x[0] for x in t])
#                        break
#                abbr = (abbr is None and ['---'] or [abbr])[0]
#
#                data = _id, abbr, county, ccounty, city, province #                print " ".join(data).encode('utf-8')
CN101010100 bj beijing 北京 北京 北京
CN101010200 hd haidian 海淀 北京 北京
CN101010300 cy chaoyang 朝阳 北京 北京
CN101010400 sy shunyi 顺义 北京 北京
CN101010500 hr huairou 怀柔 北京 北京
CN101010600 tz tongzhou 通州 北京 北京
CN101010700 cp changping 昌平 北京 北京
CN101010800 yq yanqing 延庆 北京 北京
CN101010900 ft fengtai 丰台 北京 北京
CN101011000 sjs shijingshan 石景山 北京 北京
CN101011100 dx daxing 大兴 北京 北京
CN101011200 fs fangshan 房山 北京 北京
CN101011300 my miyun 密云 北京 北京
CN101011400 mtg mentougou 门头沟 北京 北京
CN101011500 pg pinggu 平谷 北京 北京
CN101020100 sh shanghai 上海 上海 上海
CN101020200 mh minhang 闵行 上海 上海
CN101020300 bs baoshan 宝山 上海 上海
CN101020500 jd jiading 嘉定 上海 上海
CN101020600 nh nanhui 南汇 上海 上海
CN101020700 js jinshan 金山 上海 上海
CN101020800 qp qingpu 青浦 上海 上海
CN101020900 sj songjiang 松江 上海 上海
CN101021000 fx fengxian 奉贤 上海 上海
CN101021100 cm chongming 崇明 上海 上海
CN101021200 xjh xujiahui 徐家汇 上海 上海
CN101021300 pd pudong 浦东 上海 上海
CN101030100 tj tianjin 天津 天津 天津
CN101030200 wq wuqing 武清 天津 天津
CN101030300 bd baodi 宝坻 天津 天津
CN101030400 dl dongli 东丽 天津 天津
CN101030500 xq xiqing 西青 天津 天津
CN101030600 bc beichen 北辰 天津 天津
CN101030700 nh ninghe 宁河 天津 天津
CN101030800 hg hangu 汉沽 天津 天津
CN101030900 jh jinghai 静海 天津 天津
CN101031000 jn jinnan 津南 天津 天津
CN101031100 tg tanggu 塘沽 天津 天津
CN101031200 dg dagang 大港 天津 天津
CN101031400 jx jixian 蓟县 天津 天津
CN101040100 cq chongqing 重庆 重庆 重庆
CN101040200 yc yongchuan 永川 重庆 重庆
CN101040300 hc hechuan 合川 重庆 重庆
CN101040400 nc nanchuan 南川 重庆 重庆
CN101040500 jj jiangjin 江津 重庆 重庆
CN101040600 ws wansheng 万盛 重庆 重庆
CN101040700 yb yubei 渝北 重庆 重庆
CN101040800 bb beibei 北碚 重庆 重庆
CN101040900 bn banan 巴南 重庆 重庆
CN101041000 cs changshou 长寿 重庆 重庆
CN101041100 qj qianjiang 黔江 重庆 重庆
CN101041300 wz wanzhou 万州 重庆 重庆
CN101041400 fl fuling 涪陵 重庆 重庆
CN101041500 kx kaixian 开县 重庆 重庆
CN101041600 ck chengkou 城口 重庆 重庆
CN101041700 yy yunyang 云阳 重庆 重庆
CN101041800 wx wuxi 巫溪 重庆 重庆
CN101041900 fj fengjie 奉节 重庆 重庆
CN101042000 ws wushan 巫山 重庆 重庆
CN101042100 tn tongnan 潼南 重庆 重庆
CN101042200 dj dianjiang 垫江 重庆 重庆
CN101042300 lp liangping 梁平 重庆 重庆
CN101042400 zx zhongxian 忠县 重庆 重庆
CN101042500 sz shizhu 石柱 重庆 重庆
CN101042600 dz dazu 大足 重庆 重庆
CN101042700 rc rongchang 荣昌 重庆 重庆
